,0
0,gary oldman
1,ryan reynolds
2,sydney sweeney
3,jason statham
4,chloe coleman
5,yoo jung
6,scarlett johansson
7,dyessa garcia
8,gabriel guevara
9,joey king
10,hugh jackman
11,katheryn winnick
12,morena baccarin
13,keanu reeves
14,christine bermas
15,alexandra daddario
16,jenna ortega
17,morgan freeman
18,channing tatum
19,ana de armas
20,zhao lusi
21,johnny depp
22,emma corrin
23,erin moriarty
24,robert downey jr
25,tom cruise
26,quinn hemphill
27,ghislaine dion
28,emily blunt
29,amar chadhapatel
30,katherine lanasa
31,alan ritchson
32,florence pugh
33,angelina jolie
34,hande erel
35,min doyoon
36,mckenna grace
37,clancy brown
38,jason momoa
39,dafne keen
40,vin diesel
41,jennifer connelly
42,natalie dormer
43,sabrina carpenter
44,pedro pascal
45,tom hardy
46,glen powell
47,sofia kappel
48,ella purnell
49,nicole kidman
50,sana makbul
51,sylvester stallone
52,jacob scipio
53,tom hanks
54,gal gadot
55,paul dano
56,miles wei
57,margot robbie
58,nicolas cage
59,henry cavill
60,jackie chan
61,austin butler
62,famke janssen
63,frida gustavsson
64,matt damon
65,amanda seyfried
66,dakota johnson
67,ben affleck
68,anne hathaway
69,timothe chalamet
70,mickey rourke
71,liam neeson
72,eiza gonzlez
73,ruby rose turner
74,jennifer garner
75,emma stone
76,leonardo dicaprio
77,noomi rapace
78,benedict cumberbatch
79,olga kurylenko
80,jack black
81,antonio banderas
82,emma darcy
83,theo james
84,will smith
85,anya taylorjoy
86,ioan gruffudd
87,laura berlin
88,vanessa kirby
89,masami nagasawa
90,zoe saldaa
91,yvonne strahovski
92,rosamund pike
93,chris pratt
94,mila kunis
95,chris hemsworth
96,sae bom
97,helen mirren
98,jessica biel
99,chlo grace moretz
100,kevin costner
101,derya pnar ak
102,angelica hart
103,jennifer lawrence
104,kate beckinsale
105,stephen graham
106,kevin hart
107,ian somerhalder
108,damian hardung
109,selena gomez
110,raegan revord
111,bae doona
112,kristen stewart
113,tom holland
114,serinda swan
115,daniel radcliffe
116,shir sano
117,keira knightley
118,son yejin
119,jesse plemons
120,clint eastwood
121,cole hauser
122,narilya gulmongkolpech
123,uma thurman
124,claudia doumit
125,lena headey
126,zac efron
127,keiko yokozawa
128,annamaria sieklucka
129,megan fox
130,emma myers
131,jin siah
132,nicole wallace
133,adria arjona
134,martin lawrence
135,mayumi tanaka
136,jeffrey dean morgan
137,isabelle adjani
138,winona ryder
139,annabelle wallis
140,han yiseul
141,martin henderson
142,byeon wooseok
143,rebecca ferguson
144,travis fimmel
145,dakota fanning
146,erika balagtas
147,kaya scodelario
148,rachel weisz
149,alice braga
150,leighton meester
151,kiefer sutherland
152,kevin durand
153,freya allan
154,george clooney
155,patrick wilson
156,emilia clarke
157,nathan fillion
158,yoo jihyun
159,alain delon
160,olivia cooke
161,nathalie emmanuel
162,tobey maguire
163,brad pitt
164,samuel l jackson
165,karl urban
166,blake lively
167,emma watson
168,robert de niro
169,laurence fishburne
170,willem dafoe
171,isabella rossellini
172,yoon yool
173,rika
174,chris evans
175,kang eunhye
176,giancarlo esposito
177,dina meyer
178,james mcavoy
179,abhishek chauhan
180,hailee steinfeld
181,amber heard
182,haley bennett
183,adle exarchopoulos
184,viggo mortensen
185,nina dobrev
186,thomas brodiesangster
187,amy adams
188,al pacino
189,tara reid
190,lauren cohan
191,lucy punch
192,isabela merced
193,dominique mcelligott
194,jennifer morrison
195,jon hamm
196,wang xingyue
197,mel gibson
198,joseph gordonlevitt
199,russell crowe
200,michael imperioli
201,dwayne johnson
202,issey takahashi
203,susan sarandon
204,zendaya
205,steve carell
206,tetsushi tanaka
207,vincent cassel
208,josephine park
209,kiernan shipka
210,kiyohiko shibukawa
211,andrew garfield
212,mayumi izuka
213,emma roberts
214,kevin bacon
215,barry keoghan
216,elliot page
217,keith david
218,alfred molina
219,paul rudd
220,benjamin bratt
221,rowoon
222,cillian murphy
223,choi minsik
224,josh hartnett
225,jarred harper
226,nao mori
227,mia goth
228,elle fanning
229,julia victoria
230,sam elliott
231,orlando bloom
232,alexander ludwig
233,alexandra breckenridge
234,jensen ackles
235,jon bernthal
236,ester expsito
237,gillian chung yantung
238,jodie foster
239,eva green
240,ryan gosling
241,chadwick boseman
242,charlize theron
243,mirai moriyama
244,bruce willis
245,jude law
246,alec baldwin
247,john cena
248,abigail spencer
249,shuya sophia cai
250,deniz can akta
251,jake gyllenhaal
252,piper perabo
253,asa butterfield
254,emma thompson
255,vera farmiga
256,josh brolin
257,lisa kudrow
258,emmy rossum
259,kristen wiig
260,donal logue
261,paul chun pui
262,anthony hopkins
263,linda cardellini
264,xu kai
265,ariana greenblatt
266,britt robertson
267,jon favreau
268,sebastian stan
269,ava mendez
270,jean reno
271,evangeline lilly
272,polly walker
273,gustaf skarsgrd
274,freddie highmore
275,matthew mcconaughey
276,jet li
277,park bogum
278,iain armitage
279,diane lane
280,nicola coughlan
281,leo suter
282,debora caprioglio
283,ralph macchio
284,daniel craig
285,kylie cantrall
286,kelly reilly
287,claire forlani
288,tamsin egerton
289,diego luna
290,dove cameron
291,maddie phillips
292,jaime murray
293,dennis mcdonald
294,lucy liu
295,michelle rodriguez
296,kim dohee
297,scott handy
298,christina ricci
299,ben stiller
300,cobie smulders
301,daniel wu
302,michael beach
303,bradley cooper
304,bruce greenwood
305,afra saraolu
306,robert pattinson
307,carla gugino
308,sean astin
309,han seoah
310,jeong seokyong
311,junichi suwabe
312,connie britton
313,hayden christensen
314,mark wahlberg
315,burak zivit
316,zlem aknz
317,richie jen
318,yoko asagami
319,elizabeth banks
320,lance reddick
321,rachael harris
322,cameron diaz
323,valorie curry
324,gerard butler
325,catherine zetajones
326,shabana azmi
327,denzel washington
328,cary elwes
329,claudia chakrabandhu na ayudya
330,matt smith
331,elisha cuthbert
332,nikolaj costerwaldau
333,john travolta
334,masaki suda
335,sandra bullock
336,john krasinski
337,charlie hunnam
338,dan stevens
339,robin tunney
340,sean bean
341,eric kofi abrefa
342,antony starr
343,debby ryan
344,karen gillan
345,yoo jiwon
346,shinnosuke mitsushima
347,monica bellucci
348,cailee spaeny
349,william sadler
350,wesley snipes
351,asia argento
352,idris elba
353,yukie nakama
354,oscar isaac
355,olivia wilde
356,danielle campbell
357,daiki nakamura
358,melissa benoist
359,natalie portman
360,meredith monroe
361,ornella muti
362,yoo yeonseok
363,mark ruffalo
364,ryohei kimura
365,dolph lundgren
366,cansu dere
367,jang hyunsung
368,aaron paul
369,michael fassbender
370,joe chen
371,zazie beetz
372,virginie ledoyen
373,sam worthington
374,kristen bell
375,bill skarsgrd
376,agni scott
377,tim robbins
378,isabel may
379,kyshan wilson
380,ramya krishnan
381,dave bautista
382,jessie buckley
383,katherine heigl
384,yuji ueda
385,baek seri
386,matthew lillard
387,woody harrelson
388,jung woosung
389,anna kendrick
390,koichi sato
391,buster keaton
392,sammi cheng
393,william zabka
394,geraldine chaplin
395,sasha alexander
396,eddie murphy
397,jeanclaude van damme
398,brie larson
399,queen latifah
400,ethan hawke
401,karen allen
402,pierce brosnan
403,rufus sewell
404,kim basinger
405,ewan mcgregor
406,sangeeth shobhan
407,yu seon
408,christopher walken
409,kuranosuke sasaki
410,lee beomsoo
411,meg foster
412,colin farrell
413,donald sutherland
414,naoko matsui
415,rachel mcadams
416,morooka moro
417,sophie turner
418,jessica chastain
419,seiichi tanabe
420,nicholas galitzine
421,carrie coon
422,sonoya mizuno
423,milla jovovich
424,dennis quaid
425,joaquin phoenix
426,azi acosta
427,michael wong
428,eric dane
429,gina gershon
430,kim mikyeong
431,josh peck
432,yurika kubo
433,tom felton
434,christian bale
435,jk simmons
436,judy greer
437,lee dongwook
438,chi mcbride
439,wang yibo
440,luke evans
441,ruth gemmell
442,hayley atwell
443,song kang
444,xiao zhan
445,hiroshi abe
446,fala chen
447,ron perlman
448,naomi nishida
449,halle berry
450,kirsten dunst
451,claire holt
452,michael keaton
453,kim taehyung
454,millie bobby brown
455,will ferrell
456,kate mckinnon
457,michelle jenner
458,nastassja kinski
459,lily james
460,meryl streep
461,hidetoshi nishijima
462,michelle yim
463,kate mara
464,tony cox
465,kurt russell
466,scott adkins
467,ralph fiennes
468,park eunbin
469,margaret qualley
470,erika christensen
471,jeremy renner
472,jim carrey
473,kim eungsoo
474,liam hemsworth
475,vernon dobtcheff
476,heejeong
477,lily franky
478,charlie chaplin
479,rica matsumoto
480,julie bowen
481,bryan cranston
482,elizabeth mitchell
483,shailene woodley
484,juno temple
485,michael rooker
486,kenny johnson
487,imogen poots
488,harrison ford
489,reese witherspoon
490,joanna kerns
491,julianne moore
492,jena malone
493,julie benz
494,sondra locke
495,kathryn newton
496,phoebe cates
497,cha eunwoo
498,lou gala
499,heather graham
500,supaporn malisorn
501,akeno watanabe
502,marion cotillard
503,namkoong min
504,joseph quinn
505,rose leslie
506,joe pesci
507,kate winslet
508,pollyanna mcintosh
509,connie nielsen
510,dave franco
511,niyathi kadambi
512,adrien brody
513,naomi watts
514,yki kaji
515,snoop dogg
516,helen hunt
517,kim sangho
518,jordana lajoie
519,viola davis
520,finn wolfhard
521,giovanni ribisi
522,sadie sandler
523,michelle monaghan
524,lee dahee
525,saori hayami
526,krysten ritter
527,ji changwook
528,julian mcmahon
529,ryuya wakaba
530,kim minhee
531,leonor varela
532,ian mckellen
533,zooey deschanel
534,jeff goldblum
535,dylan wang
536,murray hamilton
537,jeff ross
538,zhang miaoyi
539,kim jiwon
540,maite perroni
541,park hyungsik
542,billy zane
543,tuba bykstn
544,milly alcock
545,alyson hannigan
546,sam corlett
