,name,original_name,popularity,gender,id,known_for_department,adult
0,Gary Oldman,Gary Oldman,212.888,2,64,Acting,False
1,Ryan Reynolds,Ryan Reynolds,199.717,2,10859,Acting,False
2,Sydney Sweeney,Sydney Sweeney,193.376,1,115440,Acting,False
3,Jason Statham,Jason Statham,187.787,2,976,Acting,False
4,Chloe Coleman,Chloe Coleman,175.645,1,1696016,Acting,False
5,Yoo Jung,유정,158.173,1,2349944,Acting,False
6,Scarlett Johansson,Scarlett Johansson,152.879,1,1245,Acting,False
7,Dyessa Garcia,Dyessa Garcia,151.639,1,4095744,Acting,False
8,Gabriel Guevara,Gabriel Guevara,148.729,2,2786960,Acting,False
9,Joey King,Joey King,147.549,1,125025,Acting,False
10,Hugh Jackman,Hugh Jackman,144.698,2,6968,Acting,False
11,Katheryn Winnick,Katheryn Winnick,143.423,1,26723,Acting,False
12,Morena Baccarin,Morena Baccarin,139.191,1,54882,Acting,False
13,Keanu Reeves,Keanu Reeves,136.194,2,6384,Acting,False
14,Christine Bermas,Christine Bermas,135.202,1,3371804,Acting,False
15,Alexandra Daddario,Alexandra Daddario,133.437,1,109513,Acting,False
16,Jenna Ortega,Jenna Ortega,128.368,1,974169,Acting,False
17,Morgan Freeman,Morgan Freeman,127.417,2,192,Acting,False
18,Channing Tatum,Channing Tatum,125.579,2,38673,Acting,False
19,Ana de Armas,Ana de Armas,123.441,1,224513,Acting,False
20,Zhao Lusi,赵露思,122.734,1,2049994,Acting,False
21,Johnny Depp,Johnny Depp,122.255,2,85,Acting,False
22,Emma Corrin,Emma Corrin,121.422,3,2324569,Acting,False
23,Erin Moriarty,Erin Moriarty,120.464,1,990393,Acting,False
24,Robert Downey Jr.,Robert Downey Jr.,120.346,2,3223,Acting,False
25,Tom Cruise,Tom Cruise,117.683,2,500,Acting,False
26,Quinn Hemphill,Quinn Hemphill,117.356,1,2576032,Acting,False
27,Ghislaine Dion,Ghislaine Dion,114.908,1,3270316,Acting,False
28,Emily Blunt,Emily Blunt,114.427,1,5081,Acting,False
29,Amar Chadha-Patel,Amar Chadha-Patel,111.224,2,1616920,Acting,False
30,Katherine LaNasa,Katherine LaNasa,111.074,1,169337,Acting,False
31,Alan Ritchson,Alan Ritchson,110.068,2,64295,Acting,False
32,수지,Kim Soo-ji,109.827,1,2331879,Acting,False
33,Florence Pugh,Florence Pugh,109.278,1,1373737,Acting,False
34,Angelina Jolie,Angelina Jolie,108.613,1,11701,Acting,False
35,Hande Erçel,Hande Erçel,108.093,1,1522703,Acting,False
36,Min Do-yoon,민도윤,106.81,2,1907997,Acting,False
37,Mckenna Grace,Mckenna Grace,106.287,1,1172108,Acting,False
38,Clancy Brown,Clancy Brown,105.745,2,6574,Acting,False
39,Jason Momoa,Jason Momoa,104.967,2,117642,Acting,False
40,Dafne Keen,Dafne Keen,103.799,1,1464650,Acting,False
41,Vin Diesel,Vin Diesel,103.428,2,12835,Acting,False
42,Jennifer Connelly,Jennifer Connelly,102.556,1,6161,Acting,False
43,Natalie Dormer,Natalie Dormer,101.201,1,58502,Acting,False
44,Sabrina Carpenter,Sabrina Carpenter,100.912,1,1152083,Acting,False
45,Pedro Pascal,Pedro Pascal,99.868,2,1253360,Acting,False
46,Tom Hardy,Tom Hardy,99.334,2,2524,Acting,False
47,Glen Powell,Glen Powell,99.298,2,83271,Acting,False
48,Sofia Kappel,Sofia Kappel,98.87,1,2280178,Acting,False
49,Ella Purnell,Ella Purnell,98.598,1,989325,Acting,False
50,Nicole Kidman,Nicole Kidman,98.017,1,2227,Acting,False
51,Sana Makbul,Sana Makbul,97.676,1,1400657,Acting,False
52,Sylvester Stallone,Sylvester Stallone,96.969,2,16483,Acting,False
53,Jacob Scipio,Jacob Scipio,96.193,2,2256312,Acting,False
54,Tom Hanks,Tom Hanks,96.047,2,31,Acting,False
55,Gal Gadot,גל גדות,95.543,1,90633,Acting,False
56,Paul Dano,Paul Dano,95.053,2,17142,Acting,False
57,Miles Wei,魏哲鳴,94.715,2,1914924,Acting,False
58,Margot Robbie,Margot Robbie,94.652,1,234352,Acting,False
59,Nicolas Cage,Nicolas Cage,94.236,2,2963,Acting,False
60,Henry Cavill,Henry Cavill,94.109,2,73968,Acting,False
61,Jackie Chan,成龍,93.34,2,18897,Acting,False
62,Austin Butler,Austin Butler,93.273,2,86654,Acting,False
63,Famke Janssen,Famke Janssen,92.573,1,10696,Acting,False
64,Frida Gustavsson,Frida Gustavsson,92.546,1,1679829,Acting,False
65,Matt Damon,Matt Damon,92.266,2,1892,Acting,False
66,Amanda Seyfried,Amanda Seyfried,92.19,1,71070,Acting,False
67,Dakota Johnson,Dakota Johnson,91.852,1,118545,Acting,False
68,Ben Affleck,Ben Affleck,91.551,2,880,Acting,False
69,Anne Hathaway,Anne Hathaway,91.416,1,1813,Acting,False
70,Timothée Chalamet,Timothée Chalamet,91.394,2,1190668,Acting,False
71,Mickey Rourke,Mickey Rourke,91.297,2,2295,Acting,False
72,Liam Neeson,Liam Neeson,90.758,2,3896,Acting,False
73,Eiza González,Eiza González,90.683,1,1222992,Acting,False
74,Ruby Rose Turner,Ruby Rose Turner,89.994,1,1675772,Acting,False
75,Jennifer Garner,Jennifer Garner,89.866,1,9278,Acting,False
76,Emma Stone,Emma Stone,89.486,1,54693,Acting,False
77,Leonardo DiCaprio,Leonardo DiCaprio,89.326,2,6193,Acting,False
78,Noomi Rapace,Noomi Rapace,89.2,1,87722,Acting,False
79,Benedict Cumberbatch,Benedict Cumberbatch,89.042,2,71580,Acting,False
80,Olga Kurylenko,Olga Kurylenko,88.612,1,18182,Acting,False
81,Jack Black,Jack Black,88.447,2,70851,Acting,False
82,Antonio Banderas,Antonio Banderas,88.44,2,3131,Acting,False
83,Emma D'Arcy,Emma D'Arcy,87.905,3,2121005,Acting,False
84,Theo James,Theo James,87.213,2,587020,Acting,False
85,Will Smith,Will Smith,87.129,2,2888,Acting,False
86,Anya Taylor-Joy,Anya Taylor-Joy,86.868,1,1397778,Acting,False
87,Ioan Gruffudd,Ioan Gruffudd,86.859,2,65524,Acting,False
88,Laura Berlin,Laura Berlin,86.792,1,587208,Acting,False
89,Christopher Nolan,Christopher Nolan,86.286,2,525,Directing,False
90,Vanessa Kirby,Vanessa Kirby,86.203,1,556356,Acting,False
91,Masami Nagasawa,長澤まさみ,86.036,1,87637,Acting,False
92,Steven Spielberg,Steven Spielberg,85.677,2,488,Directing,False
93,Zoe Saldaña,Zoe Saldaña,85.647,1,8691,Acting,False
94,Yvonne Strahovski,Yvonne Strahovski,85.542,1,63312,Acting,False
95,Rosamund Pike,Rosamund Pike,84.979,1,10882,Acting,False
96,Chris Pratt,Chris Pratt,84.795,2,73457,Acting,False
97,Mila Kunis,Mila Kunis,84.672,1,18973,Acting,False
98,Chris Hemsworth,Chris Hemsworth,84.653,2,74568,Acting,False
99,Sae Bom,Sae Bom,84.279,1,2472212,Acting,False
100,Helen Mirren,Helen Mirren,84.191,1,15735,Acting,False
101,Jessica Biel,Jessica Biel,84.159,1,10860,Acting,False
102,Chloë Grace Moretz,Chloë Grace Moretz,83.855,1,56734,Acting,False
103,Kevin Costner,Kevin Costner,83.849,2,1269,Acting,False
104,Derya Pınar Ak,Derya Pınar Ak,83.727,1,2414436,Acting,False
105,Angelica Hart,Angelica Hart,83.384,1,4095689,Acting,False
106,Jennifer Lawrence,Jennifer Lawrence,83.381,1,72129,Acting,False
107,Kate Beckinsale,Kate Beckinsale,83.126,1,3967,Acting,False
108,Stephen Graham,Stephen Graham,82.841,2,1115,Acting,False
109,Kevin Hart,Kevin Hart,82.83,2,55638,Acting,False
