Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0000134,2014-03-09,2014-03-09,,"Robert De Niro","Cape Fear","August 17, 1943"
2,nm0000197,2014-03-09,2015-10-25,,"Jack Nicholson","Chinatown","April 22, 1937"
3,nm0000008,2014-03-09,2014-03-09,,"Marlon Brando","Apocalypse Now","April 3, 1924"
4,nm0000243,2014-03-09,2014-03-09,,"Denzel Washington","Fences","December 28, 1954"
5,nm0000658,2014-03-09,2014-03-09,,"Meryl Streep","Out of Africa","June 22, 1949"
6,nm0000031,2014-03-09,2014-03-09,,"Katharine Hepburn","The Philadelphia Story","May 12, 1907"
7,nm0000358,2014-03-09,2014-03-09,,"Daniel Day-Lewis","There Will Be Blood","April 29, 1957"
8,nm0001627,2014-03-09,2014-03-09,,"Sidney Poitier","In the Heat of the Night","February 20, 1927"
9,nm0000007,2015-08-13,2015-08-13,,"Humphrey Bogart","Casablanca","December 25, 1899"
10,nm0000022,2015-08-13,2015-08-13,,"Clark Gable","It Happened One Night","February 1, 1901"
11,nm0000006,2014-03-09,2014-03-09,,"Ingrid Bergman","Casablanca","August 29, 1915"
12,nm0000138,2014-03-09,2014-03-09,,"Leonardo DiCaprio","Inception","November 11, 1974"
13,nm0000056,2014-03-09,2014-03-09,,"Paul Newman","The Hustler","January 26, 1925"
14,nm0000072,2014-03-09,2014-03-09,,"Elizabeth Taylor","Who's Afraid of Virginia Woolf?","February 27, 1932"
15,nm0000012,2014-03-09,2014-03-09,,"Bette Davis","All About Eve","April 5, 1908"
16,nm0000071,2014-08-31,2014-08-31,,"James Stewart","Vertigo","May 20, 1908"
17,nm0000060,2015-04-03,2015-04-03,,"Gregory Peck","To Kill a Mockingbird","April 5, 1916"
18,nm0000199,2014-03-09,2014-03-09,,"Al Pacino","Serpico","April 25, 1940"
19,nm0000158,2014-03-09,2014-03-09,,"Tom Hanks","Cast Away","July 9, 1956"
20,nm0000949,2014-03-09,2014-03-09,,"Cate Blanchett","Carol","May 14, 1969"
21,nm0000030,2014-03-09,2014-03-09,,"Audrey Hepburn","Breakfast at Tiffany's","May 4, 1929"
22,nm0000701,2014-03-09,2014-03-09,,"Kate Winslet","Eternal Sunshine of the Spotless Mind","October 5, 1975"
23,nm0205626,2014-03-10,2014-03-10,,"Viola Davis","Fences","August 11, 1965"
24,nm0000026,2014-03-09,2014-03-09,,"Cary Grant","Arsenic and Old Lace","January 18, 1904"
25,nm0000151,2015-08-13,2015-08-13,,"Morgan Freeman","Driving Miss Daisy","June 1, 1937"
26,nm0000046,2014-03-09,2014-03-09,,"Vivien Leigh","A Streetcar Named Desire","November 5, 1913"
27,nm0000059,2014-03-09,2014-03-09,,"Laurence Olivier","Rebecca","May 22, 1907"
28,nm0000537,2015-08-13,2015-08-13,,"Steve McQueen","The Great Escape","March 24, 1930"
29,nm0000473,2014-03-09,2014-03-09,,"Diane Keaton","Annie Hall","January 5, 1946"
30,nm0000075,2014-03-09,2014-03-09,,"Spencer Tracy","Guess Who's Coming to Dinner","April 5, 1900"
31,nm0451321,2014-03-10,2014-03-10,,"Shah Rukh Khan","Don 2","November 2, 1965"
32,nm0000210,2014-03-09,2014-03-09,,"Julia Roberts","Pretty Woman","October 28, 1967"
33,nm0000149,2014-03-09,2014-03-09,,"Jodie Foster","The Silence of the Lambs","November 19, 1962"
34,nm0000023,2014-03-09,2014-03-09,,"Judy Garland","The Wizard of Oz","June 10, 1922"
35,nm0000020,2014-03-09,2014-03-09,,"Henry Fonda","12 Angry Men","May 16, 1905"
36,nm0000366,2014-03-10,2014-03-10,,"Catherine Deneuve","8 femmes","October 22, 1943"
37,nm0000038,2015-08-13,2015-08-13,,"Grace Kelly","Dial M for Murder","November 12, 1929"
38,nm0000545,2014-03-09,2014-03-09,,"Helen Mirren","The Queen","July 26, 1945"
39,nm0000164,2014-03-09,2014-03-09,,"Anthony Hopkins","The Silence of the Lambs","December 31, 1937"
40,nm0000010,2014-03-09,2014-03-09,,"James Cagney","Angels with Dirty Faces","July 17, 1899"
41,nm0000291,2014-03-10,2014-03-10,,"Angela Bassett","Strange Days","August 16, 1958"
42,nm0000136,2014-03-09,2014-03-09,,"Johnny Depp","Sweeney Todd: The Demon Barber of Fleet Street","June 9, 1963"
43,nm0001256,2014-03-09,2014-03-09,,"Greta Garbo","Ninotchka","September 18, 1905"
44,nm0000014,2014-03-09,2014-03-09,,"Olivia de Havilland","Gone with the Wind","July 1, 1916"
45,nm0000122,2014-03-09,2014-03-09,,"Charles Chaplin","The Great Dictator","April 16, 1889"
46,nm0361697,2014-03-10,2014-03-10,,"Setsuko Hara","Banshun","June 17, 1920"
47,nm0000267,2014-03-09,2014-03-09,,"Julie Andrews","The Sound of Music","October 1, 1935"
48,nm0001050,2014-03-10,2014-03-10,,"Montgomery Clift","A Place in the Sun","October 17, 1920"
49,nm0001376,2014-03-10,2014-03-10,,"Isabelle Huppert","Elle","March 16, 1953"
50,nm0000028,2014-03-09,2014-03-09,,"Rita Hayworth","Gilda","October 17, 1918"
51,nm0000932,2014-03-09,2014-03-09,,"Halle Berry","Catwoman","August 14, 1966"
52,nm0000015,2014-03-09,2014-03-09,,"James Dean","East of Eden","February 8, 1931"
53,nm0000018,2014-03-09,2014-03-09,,"Kirk Douglas","Ace in the Hole","December 9, 1916"
54,nm0000081,2014-03-09,2014-03-09,,"Natalie Wood","Rebel Without a Cause","July 20, 1938"
55,nm0000052,2014-03-10,2014-03-10,,"Marcello Mastroianni","La dolce vita","September 26, 1924"
56,nm0001076,2014-03-09,2014-03-09,,"Joan Crawford","Mildred Pierce","March 23, 1907"
57,nm0000148,2015-08-13,2015-08-13,,"Harrison Ford","Raiders of the Lost Ark","July 13, 1942"
58,nm0000215,2014-03-09,2014-03-09,,"Susan Sarandon","Thelma & Louise","October 4, 1946"
59,nm0000037,2014-03-09,2014-03-09,,"Gene Kelly","Singin' in the Rain","August 23, 1912"
60,nm0000335,2014-03-09,2014-03-09,,"Glenn Close","Fatal Attraction","March 19, 1947"
61,nm0000021,2014-03-09,2014-03-09,,"Joan Fontaine","Rebecca","October 22, 1917"
62,nm0000194,2014-03-09,2014-03-09,,"Julianne Moore","Far from Heaven","December 3, 1960"
63,nm0000226,2014-03-09,2014-03-09,,"Will Smith","The Fresh Prince of Bel-Air","September 25, 1968"
64,nm0000047,2014-03-09,2014-03-09,,"Sophia Loren","Arabesque","September 20, 1934"
