,id,BoxOffice
0,unbranded,
1,1053155-lassie,$8.3M
2,klute,
3,the_duff,$34.0M
4,falling_down,$40.4M
5,amanda_knox,
6,censored_voices,$34.2K
7,more_than_honey,$71.5K
8,a_state_of_mind_2005,$41.5K
9,crouching_tiger_hidden_dragon_sword_of_destiny_2016,
10,the_edge_of_democracy,
11,unstrung_heroes,$7.9M
12,black_sunday,
13,under_the_sun,$332.1K
14,escape_from_alcatraz,
15,1081501-senseless,$13.0M
16,margarita_happy_hour,$11.5K
17,lupin_iii_the_first,
18,not_without_my_daughter,$14.0M
19,rookie_of_the_year,$53.1M
20,jeruzalem,
21,the_in_laws_1979,
22,braid_2019,
23,john_dies_at_the_end,$141.3K
24,left_behind_2014,$14.0M
25,dr_dolittle,$144.2M
26,leap_of_faith_2019,
27,african_cats,$15.4M
28,the_sonata,
29,the_last_mercenary,
30,caesar_must_die_2012,
31,monsoon_wedding,$13.9M
32,damned_united,$449.6K
33,the_100_year_old_man_who_climbed_out_the_window_and_disappeared,$923.9K
34,humpday,$388.4K
35,lamb_2021,$2.0M
36,agronomist,$226.2K
37,better_living_through_circuitry,$83.1K
38,10006270,$428.4K
39,project_a,
40,fears_of_the_dark,$77.9K
41,ecstasy_2012,
42,the_advent_calendar,
43,good_son,$44.4M
44,persons_of_interest,
45,1000123-310_to_yuma,
46,atlantic_city,
47,last_of_sheila,
48,adrift_2018,$31.4M
49,peaceful_warrior,$1.1M
50,paul_blart_mall_cop,$146.3M
51,1116417-next_big_thing,$14.2K
52,striptease,$32.8M
53,grandma_2015,$7.0M
54,the_doorman_2008,
55,guest_of_cindy_sherman,
56,up_close_and_personal,$51.1M
57,i_wish_2012,$146.7K
58,say_it_isnt_so,$5.5M
59,i_love_you_man,$71.3M
60,quigley_down_under,$20.1M
61,metal_a_headbangers_journey,
62,metroland,$299.5K
63,jurassic_world_dominion,$376.0M
64,illuminata,$836.6K
65,mountains_may_depart_2016,$80.4K
66,first_snow,$213.0K
67,the_glorias,
68,1020130-sting,
69,1018009-running_scared,$37.6M
70,spirit_untamed,$17.6M
71,little_big_league,$12.1M
72,baby_geniuses,$27.1M
73,demon_slayer_kimetsu_no_yaiba_the_movie_mugen_train,
74,days_and_clouds,$109.3K
75,luminarias,$428.5K
76,wings_of_desire,$120.8K
77,eighth_grade,$13.5M
78,hills_have_eyes_2,$20.8M
79,10009469-the_other_man,
80,son_of_the_south,
81,les_cowboys,$73.7K
82,piccadilly,
83,the_song_of_names,$1.1M
84,the_exception_2020,
85,love_sarah,
86,i_know_what_you_did_last_summer,$72.2M
87,1029112-alice_in_wonderland,
88,the_young_girls_of_rochefort,$88.5K
89,1167633-driving_lessons,$238.8K
90,sixth_sense,$293.5M
91,wind_river_2017,$33.8M
92,wetlands_2014,$59.4K
93,mother_and_child,$1.1M
94,sorry_we_missed_you,$28.3K
95,downhill_2020,$8.3M
96,nerve_2016,$38.6M
97,1060518-hideaway,$11.7M
98,12_rounds,$12.2M
99,10011494-last_ride,$5.5K
100,three_fugitives,$40.0M
101,the_gospel_of_john,
102,the_gentlemen,$36.5M
103,1076267-volcano,$47.5M
104,beneath_the_darkness,$9.6K
105,1016338-pink_panther,
106,arctic_dogs,$5.8M
107,final_portrait,$460.9K
108,cup_of_cheer,
109,mental_2012,$17.3K
110,war_witch,$37.9K
111,like_a_boss,$22.1M
112,cousins_2021,
113,1212111-triangle,
114,ghosts_of_war,
115,suzi_q,
116,red_dot,
117,yardie,$35.6K
118,give_me_liberty_2019,$242.4K
119,the_french_minister,$3.8K
120,black_adam,$168.1M
121,sangre_de_mi_sangre,$54.2K
122,that_sugar_film,$3.5K
123,the_rules_of_the_game,
124,1009058-gung_ho,$36.4M
125,bat_21,$3.2M
126,the_short_history_of_the_long_road,
127,dracula_pages_from_a_virgins_diary,$45.1K
128,kurt_vonnegut_unstuck_in_time,$60.0K
129,lady_boss_the_jackie_collins_story,
130,orchestrator_of_storms_the_fantastique_world_of_jean_rollin,
131,paranormal_activity_2,$84.7M
132,man_called_horse,
133,1197307-ballast,$76.2K
134,the_dark_backward,$7.9K
135,amati_girls,$47.8K
136,the_son_of_no_one,$28.9K
137,1055875-only_you,$20.0M
138,unknown_pleasures,$8.1K
139,serpent_and_the_rainbow,$19.0M
140,body_of_water_2020,
141,goodbye_christopher_robin,$1.7M
142,hansel_and_gretel_witch_hunters,$55.7M
143,the_forest_of_the_lost_souls,
144,wajib,
145,bunraku,
146,star_trek_vi_the_undiscovered_country,$71.7M
147,rage_carrie_2,$17.8M
148,dancing_at_lughnasa,$2.3M
149,something_borrowed_2011,$39.0M
150,how_to_plan_an_orgy_in_a_small_town,
151,asterix_the_secret_of_the_magic_potion,
152,racing_dream,$55.6K
153,contagion_2011,$75.6M
154,a_story_of_children_and_film,
155,1004463-college,
156,pete_seeger_the_power_of_song,$175.1K
157,layer_cake,$2.3M
158,the_mortal_instruments_city_of_bones,$31.2M
159,1031278-gun_crazy,
160,juno,$143.5M
161,note_by_note_the_making_of_steinway_l1037,
162,right_at_your_door,$64.8K
163,freaks,
164,detour_2017,
165,green_street_hooligans,$345.8K
166,st_vincent,$44.1M
167,any_given_sunday,$75.5M
168,shortcut_2020,$758.2K
169,faces-of-death,
170,spike_island,
171,1003076-brians_song,
172,she_came_from_the_woods,
173,the_end_of_the_tour_2015,$3.0M
174,444_last_day_on_earth_2012,$15.7K
175,umberto_d,$74.3K
176,1074539-caught,$361.1K
177,fletch,
178,the_ornithologist,$50.5K
179,bharat,$2.9M
180,hoot,$8.1M
181,enemy_of_the_state,$111.5M
182,z_channel_a_magnificent_obsession,
183,sob,
184,scarlet_street,
185,semi_pro,$33.5M
186,playing_with_fire_2019,$20.5M
187,the_perfect_crime_2005,$415.5K
188,bill_w_2012,
189,the_wolfpack,
190,the_change_up,$37.0M
191,itzhak,$482.8K
192,jack_ryan_shadow_recruit,$50.5M
193,1021244-thing,
194,arlington_road,$24.4M
195,cheerful_weather_for_the_wedding,$1.9K
196,no_mans_land,
197,dark_was_the_night,
198,fire_at_sea_2016,$114.0K
199,a_place_at_the_table_2013,$230.5K
200,lightning_jack,$15.3M
201,scrooged,$58.2M
202,passing_2021,
203,timer,
204,gods_creatures,
205,1014453-music_man,
206,viva_las_vegas,
207,fire_island_2022,
208,1215791-earth_days,$26.5K
209,blood_red_sky,
210,1104203-pledge,$19.7M
211,the_grizzlies,
212,undisputed,
213,the_moth_diaries,$3.8K
214,unfriended_dark_web,$8.8M
215,all_we_had,
216,cold_blood,
217,the_last_blockbuster,
218,1046045-king_of_the_hill,$879.6K
219,mr_jones_2019,
220,dont_be_afraid_of_the_dark_2011,$24.0M
221,rudo_y_cursi,$1.8M
222,the_butterfly_2004,$38.4K
223,rocky_iv,$125.4M
224,aardvark_2018,
225,breaker_morant,
226,andy_warhols_trash,$5.2K
227,a_syrian_love_story,
228,good_luck_chuck,$35.0M
229,dumbo_2019,$114.8M
230,mermaids,$34.9M
231,girls_of_the_sun,$16.0K
232,love_affair_1994,
233,1040891-night_and_the_city,
234,mission_to_lars,
235,my_own_private_idaho,$6.4M
236,a_bag_of_hammers,
237,theatre_of_blood,
238,mindhunters,$4.5M
239,the_man_who_killed_don_quixote,$392.0K
240,you_again,$25.7M
241,nymphomaniac_volume_i,
242,about_elly,$106.7K
243,queen_of_earth,$78.4K
244,god_said_ha,
