,id,BoxOffice
0,ladyworld,
1,sgt_stubby_an_american_hero,$3.1M
2,downhill_racer,
3,la_belle_saison,$35.0K
4,tarzan,
5,special,$6.4K
6,the_mole_agent,
7,passenger-side,
8,the_spine_of_night,
9,the_hornets_nest_2014,$312.0K
10,madeo,$547.3K
11,hereafter,$32.7M
12,hitch,$177.6M
13,victor_crowley,
14,1005865-dillinger,
15,honey_i_shrunk_the_kids,$130.2M
16,the_visitor_2022,
17,seed_of_chucky,$17.0M
18,fighting_with_my_family,$23.0M
19,top_gun_maverick,$718.5M
20,amy_2015,$8.4M
21,cargo_200,
22,the_fallout_2021,
23,an_inconvenient_sequel_truth_to_power,$3.5M
24,old_fashioned,$1.8M
25,in_a_better_world,$1.0M
26,back_to_the_future,$247.0K
27,mr_soul,
28,backdraft,$75.7M
29,welcome_to_the_rileys,$152.9K
30,fading_gigolo,$3.8M
31,the_hatton_garden_job,
32,hollow_2012,
33,constant_gardener,$33.6M
34,running_on_empty,$1.8M
35,the_naked_gun_33_13_the_final_insult_1994,$48.1M
36,american_renegades,
37,impractical_jokers_the_movie,$10.2M
38,peyton_place,
39,the_nightingale_2019,$400.2K
40,we_are_monster,
41,the_pink_cloud,
42,ill_sleep_when_im_dead,$358.8K
43,beaches,$56.4M
44,la_proie_2013,
45,mr_holmes,$17.7M
46,el_bulli_cooking_in_progress_2010,$222.6K
47,cleanskin,
48,flower_2018,$327.4K
49,blair_witch_project,$140.5M
50,peter_von_kant,
51,gremlins,
52,siddharth,$59.8K
53,bacurau,$58.1K
54,down_in_the_delta,$5.7M
55,the_goldfinch,$5.3M
56,mary_shelley,$97.3K
57,10000_bc,$94.8M
58,three_colors_blue,$539.2K
59,himalaya,$2.5M
60,1009123-hamlet,
61,memory_the_origins_of_alien,$26.2K
62,you_people_2023,
63,honeymoon_2014,$9.2K
64,hamlet_2,$4.9M
65,shrek_forever_after,
66,yes_man,$97.7M
67,sleepwalk_with_me,$2.2M
68,unfinished_song,$1.7M
69,margot_at_the_wedding,$2.0M
70,edmond,$131.6K
71,last_kiss,$11.6M
72,the_intouchables,$13.2M
73,italian_job,$106.1M
74,1200731-robocop,$58.6M
75,dont_worry_darling,$45.3M
76,gold_2017,$7.2M
77,the_lion_king,$95.6M
78,guardians_of_the_galaxy_vol_2,$389.8M
79,the_world_to_come,$106.3K
80,things_change,$2.3M
81,viramundo,
82,the_brawler,
83,i_spit_on_your_grave,
84,the_ballad_of_genesis_and_lady_jaye_2011,
85,truth_or_consequences_nm,$54.2K
86,u_carmen,
87,whole_wide_world,$330.2K
88,deathgasm,
89,still_2015,
90,sadie_2018,
91,three_dancing_slaves,$21.6K
92,children_of_paradise,$31.9K
93,mapplethorpe_look_at_the_pictures,
94,my_happy_ending,$52.9K
95,jumpin_jack_flash,$24.5M
96,beautiful_girls,$10.6M
97,shy_people,$7.4K
98,kind_hearts_and_coronets,$35.9K
99,the_last_ride_2011,
100,1024232-year_of_the_dragon,$18.6M
101,tekkonkinkreet,
102,the_autobiography_of_nicolae_ceausescu_2011,$31.4K
103,trigger_effect,$3.6M
104,defending_your_life,$16.2M
105,maryam,$104.2K
106,enter_the_void,$336.5K
107,superman_iii,
108,myth_of_fingerprints,$541.1K
109,one_cut_of_the_dead,$52.4K
110,the_tinder_swindler,
111,open_windows_2013,
112,three_monkeys,$41.3K
113,dont_make_me_go,
114,io_sono_li,
115,my_babys_daddy,$17.3M
116,beaufort,$101.3K
117,enemy_at_the_gates,$51.4M
118,ballet_422,$332.8K
119,yankee_doodle_dandy,
120,starred_up,$34.1K
121,lupin_iii_the_castle_of_cagliostro,
122,norman,
123,secret_things,$104.5K
124,black_narcissus,
125,trouble_every_day,$9.2K
126,flores_raras,
127,pest,$3.5M
128,easier_with_practice,
129,why_did_i_get_married_too,$60.1M
130,beginners,$5.8M
131,back_to_burgundy,$256.2K
132,telling_lies_in_america,$275.2K
133,1019128-skin_deep,$19.4M
134,mirror_has_two_faces,$41.3M
135,den_of_thieves,$44.9M
136,mercury_rising,$32.9M
137,darkness_falls,$32.1M
138,1039270-deep_cover,$16.6M
139,intimate_stories,$102.7K
140,the_territory_2022,$26.2K
141,hermans_house,$4.7K
142,the_return_of_jafar,
143,2_days_in_the_valley,$11.1M
144,10011582-tron_legacy,$172.1M
145,war_of_the_roses,$84.1M
146,beyond_the_clouds,$30.9K
147,the_awakening_2011,$90.3K
148,spring_2015,$48.9K
149,the_queen_of_versailles,$2.4M
150,godsend,$14.3M
151,felicias_journey,$819.9K
152,charles-dickenss-england,
153,u2_3d,$10.4M
154,extra_ordinary,$160.9K
155,stockholm_2019,
156,rocky_iii,
157,crazy_horse_2010,$155.7K
158,from_prada_to_nada_2011,$3.0M
159,tales_from_the_hood,$10.7M
160,zabriskie_point,
161,mexican,$66.8M
162,richard_linklater_dream_is_destiny,
163,hold_the_dark,
164,new_in_town,$16.7M
165,jackal,$54.9M
166,brooklyns_finest,$27.2M
167,hunter_killer,$15.7M
168,what_just_happened,$1.1M
169,firestarter,
170,alvin_and_the_chipmunks_chipwrecked_2011,$133.1M
171,guilty_2015,$342.4K
172,the_professor_and_the_madman,
173,my-dog-tulip,$246.6K
174,10009636-igor,$19.5M
175,km0,$156.4K
176,1078035-steel,$1.7M
177,when_we_were_kings,$2.7M
178,playtime,
179,cliffords_really_big_movie,$2.8M
180,chasing_mavericks,$6.0M
181,dog_gone,
182,gun_shy,$1.6M
183,10008856-badland,
184,metal_lords,
185,zero_effect,$2.0M
186,we_the_animals,$400.4K
187,the_red_sea_diving_resort,
188,life_2014,
189,captain_phillips,$107.1M
190,halloween_resurrection,$30.3M
191,the_bronze,$615.7K
192,1130191-reckoning,$256.6K
193,catch_that_kid,$16.7M
194,the_velocipastor_2019,
195,attack-of-the-killer-tomatoes,
196,13th,
197,last_remake_of_beau_geste,
198,the_harvest_2015,
199,groove,$1.1M
200,the_pool,$94.9K
201,the_times_of_harvey_milk,$13.6K
202,mega_time_squad,
203,little_italy_2018,$987.8K
204,operation_dumbo_drop,$24.7M
205,kellys_heroes,
206,beirut,$5.0M
207,little_vampire,$13.6M
208,wedding_planner,$60.4M
209,dukes_of_hazzard,$80.3M
210,the_shack,$57.2M
211,diary-of-the-dead2007,$952.6K
212,nosferatu,
213,book_of_love_2022,
214,presidents_last_bang,$5.9K
215,bang_rajan,$22.8K
216,poohs_heffalump_movie,
217,crimes_of_the_future_2022,$2.0M
218,boy_who_could_fly,$6.3M
219,zombie_for_sale,
220,dancer_upstairs,$2.4M
221,goosebumps_2_haunted_halloween,$46.7M
222,10006849-once_in_a_lifetime,$144.4K
223,1076721-get_carter,
224,jules_and_jim,
225,awake,$14.4M
226,the_golden_dream,
227,being_evel,
228,mod_squad,$13.3M
229,good_posture,
230,eisenstein_in_guanajuato,$34.3K
231,keeper_the_legend_of_omar_khayyam,$224.5K
232,all_the_bright_places,
233,1029042-henry_v,$10.2M
234,kill_your_darlings_2013,$1.0M
235,10008660-price_of_sugar,
236,thin_man,
237,morning-glory-2010,$31.0M
238,colonia,
239,desperados_2020,
240,chennai_express_2013,$5.3M
241,the_little_hours,$1.6M
242,drive_hard,
243,piglets_big_movie,
244,the_story_of_the_weeping_camel,$1.7M
245,we_are_wizards,
246,take_this_waltz,$1.2M
247,mimzy,$21.5M
248,diary_of_a_wimpy_kid_dog_days,$49.0M
249,the_wall_2017,$1.8M
250,darling_companion,$793.4K
251,rare_exports,$263.2K
252,1001567-bad_news_bears,
253,deceiver,$545.6K
254,blackkklansman,$48.6M
255,touch-the-sound,$176.1K
256,lauberge_espagnole,$3.9M
257,boy_named_charlie_brown,
258,before_sunset,$5.8M
259,horror_noire_a_history_of_black_horror,
260,1081200-great_expectations,$26.3M
261,city_of_your_final_destination,
262,starfish_2016,
263,zack_snyders_justice_league,
264,the_party_2018,$748.9K
265,liquid_sky,
266,wallace_and_gromit_the_curse_of_the_were_rabbit,$56.0M
267,thats_life,$3.6M
268,dear_zoe,
269,stephen-kings-it1990,
270,frank_and_zed,
271,the_grand_seduction,$3.4M
272,the_aeronauts,$30.0K
273,swept_away,$24.7K
274,rogue_2020,
275,perriers_bounty,$828
276,the_desert_bride,$23.1K
277,prime_of_miss_jean_brodie,
278,holy_motors,$641.1K
279,batman_and_mr_freeze_subzero,
280,tony_manero,
281,scare_package_ii_rad_chads_revenge,
282,le_petit_lieutenant,
283,it_was_fifty_years_ago_today_the_beatles_sgt_pepper_and_beyond,
284,constantines_sword,$179.5K
285,falling_2020,
286,the_good_house_2022,$2.2M
287,partir,$174.7K
288,jodorowskys_dune,$646.5K
289,walking_out,$101.9K
