,id,BoxOffice
0,unbranded,
1,1053155-lassie,8300000.000000001
2,klute,
3,the_duff,34000000.0
4,falling_down,40400000.0
5,amanda_knox,
6,censored_voices,34200.0
7,more_than_honey,71500.0
8,a_state_of_mind_2005,41500.0
9,crouching_tiger_hidden_dragon_sword_of_destiny_2016,
10,the_edge_of_democracy,
11,unstrung_heroes,7900000.0
12,black_sunday,
13,under_the_sun,332100.0
14,escape_from_alcatraz,
15,1081501-senseless,13000000.0
16,margarita_happy_hour,11500.0
17,lupin_iii_the_first,
18,not_without_my_daughter,14000000.0
19,rookie_of_the_year,53100000.0
20,jeruzalem,
21,the_in_laws_1979,
22,braid_2019,
23,john_dies_at_the_end,141300.0
24,left_behind_2014,14000000.0
25,dr_dolittle,144200000.0
26,leap_of_faith_2019,
27,african_cats,15400000.0
28,the_sonata,
29,the_last_mercenary,
30,caesar_must_die_2012,
31,monsoon_wedding,13900000.0
32,damned_united,449600.0
33,the_100_year_old_man_who_climbed_out_the_window_and_disappeared,923900.0
34,humpday,388400.0
35,lamb_2021,2000000.0
36,agronomist,226200.0
37,better_living_through_circuitry,83100.0
38,10006270,428400.0
39,project_a,
40,fears_of_the_dark,77900.0
41,ecstasy_2012,
42,the_advent_calendar,
43,good_son,44400000.0
44,persons_of_interest,
45,1000123-310_to_yuma,
46,atlantic_city,
47,last_of_sheila,
48,adrift_2018,31400000.0
49,peaceful_warrior,1100000.0
50,paul_blart_mall_cop,146300000.0
51,1116417-next_big_thing,14200.0
52,striptease,32799999.999999996
53,grandma_2015,7000000.0
54,the_doorman_2008,
55,guest_of_cindy_sherman,
56,up_close_and_personal,51100000.0
57,i_wish_2012,146700.0
58,say_it_isnt_so,5500000.0
59,i_love_you_man,71300000.0
60,quigley_down_under,20100000.0
61,metal_a_headbangers_journey,
62,metroland,299500.0
63,jurassic_world_dominion,376000000.0
64,illuminata,836600.0
65,mountains_may_depart_2016,80400.0
66,first_snow,213000.0
67,the_glorias,
68,1020130-sting,
69,1018009-running_scared,37600000.0
70,spirit_untamed,17600000.0
71,little_big_league,12100000.0
72,baby_geniuses,27100000.0
